8.52E+17,,SH_AKTHI
8.40E+17,,Magnonk909
9.08E+17,,imose_eth
9.04E+17,,ehsanhadadi1
8.30E+17,,founder197
8.42E+17,,viewsvalidator
7.45E+17,,0xberuangmadu
8.58E+17,meison7554#0,@meison_mswen
9.10E+17,ihor0732#0,Arcano5609
1.19E+18,0xihor#0,0xIhor
9.04E+17,esi777#0,ehsanhadadi1
9.08E+17,isaiaho123#0,imose_eth
1.11E+18,qprecious296#0,rovendisc
6.79E+17,ditsy22#0,crypto_ditsy
9.08E+17,billx.sat#0,bicevipri
1.24E+18,kamushkyn#0,ychexoB
9.99E+17,hdm368358#0,DaraeiHossein
1.25E+18,truonggiang0603#0,truonggiang0603
3.38E+17,plebeybob#0,Plebeybobs
7.10E+17,loveeat.bnb#0,@Cipher_passage
8.40E+17,ehsan289#0,toktiol
1.19E+18,0xpharaoh2262#0,@Mohamed_15996
8.30E+17,chiefdahunsi#0,dahunsitemitope
8.76E+17,saeed6538#0,Madridd1902
8.76E+17,hmd7ai#0,CoreySnuff
1.08E+18,light_of_night8#0,light_of_night8
4.26E+17,reloolooza#0,shahfilsoof
1.04E+18,yurnalis_cryptosiast#0,yurnaliis
1.05E+18,roserose68#0,Mysyin
9.19E+17,zhuzhu8447#0,roserose1862
9.99E+17,hossein7491#0,Richard_Enzo96
1.04E+18,versus777#0,andrey_versus
9.10E+17,ihor0732#0,Arcano5609
3.89E+17,vva2123#0,golftel
1.23E+18,melin0141#0,Melin586710
8.97E+17,pandatel25#0,panda48084502
9.01E+17,spradith6057#0,greent2525
9.39E+17,90ojnzspgds300384#0,PaytonGyrl1986
9.59E+17,3rzyq3koumg55#0,gomennnne05410
9.33E+17,f9g5dp3wmm55952#0,OadbyOwlHH
9.31E+17,hrn75q000y7401#0,LucianoGafuri
9.35E+17,pc26vg61umb261739#0,Fahmie_morrenna
9.31E+17,ericseen.#0,yanisundari65
9.31E+17,ky5x7yt5sbnfa2651#0,H2H_foundation
9.25E+17,laveta39#0,@LavetaG39809
8.40E+17,jarvis779#0,Magnonk909
9.25E+17,p5h5ucc2m9n0146#0,tha_eenz_girl
9.25E+17,itbcjkl7otobo6515#0,shaneroll8
9.34E+17,g8ufd3ku49936#0,lucianalee86
9.25E+17,4gc9h7hvg1146#0,mjdigger66
1.28E+18,heavyshadow0806#0,barts12
9.34E+17,797o3fkt06w2517#0,audreababy
9.30E+17,50mm2ct2fkweg4146#0,k_huxell
9.17E+17,eywr09nt119752#0,zfigo1987
9.29E+17,givenchybae8452#0,vadoron
9.25E+17,ecrtzjn5s6060#0,weirdobre22
1.20E+18,formatglobal#0,stequantum
1.21E+18,djeipy.#0,scottieheasman
1.21E+18,danielekgames#0,titorecife
1.20E+18,dylanimus.#0,mikegraffnow
1.21E+18,petahh0974#0,BreeRigsby
1.21E+18,dilkhush60d#0,Rock0076
1.21E+18,dastisch_#0,pjtanner11
1.21E+18,bosspanda0316#0,tempest165
1.20E+18,danteunik_#0,ricardojoc
1.21E+18,imamarid#0,Adriahna
1.21E+18,darkpittbull_#0,Alex_Lucas_B
1.20E+18,superspraezy.#0,luissusin
1.21E+18,clumsyberry_#0,James__Saunders
1.21E+18,schorsch0717#0,kenshinjama
1.20E+18,kisanae.#0,peaceAS
1.20E+18,tmaucher#0,1kingwallace
1.21E+18,repeteco_#0,AnnieVane
1.21E+18,thepavinsky.#0,Afrodity18
1.21E+18,fatneek0615#0,finale__
1.21E+18,crackerwhitey#0,Abhishek_72
1.21E+18,wurstmc.#0,AntonioLavinda
1.21E+18,haukea0404#0,AnastassiaM
1.21E+18,martokklff#0,AznWnnabe
1.21E+18,gerkules0477#0,@monserrate5102
1.21E+18,trauci_#0,tom_hay
1.21E+18,dcarp7.#0,BFAS76
1.21E+18,thaliamiau_#0,AWormald
1.21E+18,effisio.#0,BYAKYT
1.21E+18,dunteon.#0,CTPAXoff
1.21E+18,zermexe8g#0,Anandagati
1.21E+18,exifallz0x#0,BigMadafaca
1.21E+18,mimphis.#0,BARBARAPEDROZA
1.21E+18,cabluff#0,jun931203
1.21E+18,waitandprotect#0,ACURA32
1.21E+18,beimax0088#0,DJLeoK
1.21E+18,mrkevsalv#0,marthagomez31
1.21E+18,coolcrab0856#0,B1zzer
1.21E+18,antonvolkrfm#0,majoarce7
1.21E+18,austra0249#0,CatherineTLee
1.21E+18,vitreous0386#0,jojaloji
1.21E+18,wiracocha0033#0,Alex_stam
1.21E+18,sixwingsflying.#0,BlueDevilsFan76
3.70E+17,extazikviacheslav#0,@Lineage_Extazik
1.21E+18,brownsauce0749#0,Xandeted
1.21E+18,maevaasan_#0,3030im
1.21E+18,sritoda_#0,laguerae
1.20E+18,kwasky.#0,rebeccapenn93
1.21E+18,kankorsh.#0,mich8011
1.24E+18,breadwinner46077#0,Mayamariana7
1.21E+18,eithan03815#0,medicolalo
1.21E+18,zofiranxt#0,emaldifranco
1.27E+18,manosfatehands0503#0,mipobreangelit2
1.27E+18,nanahterasu.#0,alditabungsu
1.27E+18,thefoxernl_#0,joooojtk4e
1.27E+18,dabgren.#0,tea_lamorb_li2
1.30E+18,legendsight_#0,monst_tomoki48
1.27E+18,guldukat0089#0,roddazevedo
1.30E+18,iteration0214#0,tinistastodastu
1.30E+18,russian05125#0,mvagustacolombi
1.29E+18,deltabeard0123#0,ilmi_hardin
1.30E+18,feudallord0635#0,gabrieltaalevi
9.24E+17,sharriette#0,@sharriette19269
1.21E+18,antananarivu0935#0,@KyokoLaver45963
1.21E+18,slipperyglove.#0,@SwansTweets
9.33E+17,pameliao48749#0,@BillyRoxy333166
9.27E+17,billyroxy#0,@BillyRoxy333166
1.31E+18,dieguim0449#0,galata_ylmaz
9.33E+17,i3wxm9h4e2362#0,takeryo1127
9.34E+17,wt26zdkk4ah6158#0,milleniaramadhi
9.34E+17,kjhlqy7f3y7ef5521#0,sorasa_0122
9.24E+17,6o4c0rrbqh462743#0,RetnoWidy1
9.22E+17,m5cat3ygx#0,hemb053046
9.24E+17,grh35chz8npm0148#0,1130_rino
9.23E+17,gkichoc1i6s#0,www_faleh54321
9.33E+17,2m9bhf5y9jwq1872#0,12happy4132
1.28E+18,turkturkleton0931#0,filo117herrera
1.29E+18,frigolito0142#0,natuka_a
1.27E+18,maxtone0701#0,squidward_2
1.29E+18,elmuerto0550#0,navajas_mark
1.27E+18,jackavader0305#0,kylianaudrey
1.30E+18,senguin0695#0,lore_tana_
1.28E+18,hhdrms.#0,coumba_camara
1.27E+18,goldenflower220688#0,estefany1514
1.28E+18,digoohbr0356#0,ej_parkeunji01
1.29E+18,trofim0168#0,octavia_tari
1.21E+18,myaxling.#0,@TieshaBrig38507
9.30E+17,larletha#0,@LArletha13714
9.24E+17,joanne79295#0,<@923938898567106583>
1.20E+18,chowchow0420#0,@WilliaLeig2979
9.19E+17,jqqtfughm6mj3747#0,@JinaMeliss4625
9.34E+17,ebs6e1p9k2986#0,yhy140901
9.33E+17,kq5qux3ytdjma6820#0,MG_Sungmin
9.19E+17,b8yx22ddn15sj5484#0,yukichikun_820
9.33E+17,5dcrqmd8kp#0,mai01040103
9.24E+17,veronika_s42993#0,<@924173030853324810>
9.24E+17,elvira18866#0,<@923879596221403186>
